metric,observed,null_mean,null_sd,null_q95,p_perm
structure_score,0.3671815977216726,0.19202326778513534,0.04192604125871886,0.2677137027967059,0.0003999200159968006
Activation->CoCreation,0.10869565217391304,0.1962188987274313,0.05305398858370213,0.2857142857142857,0.9624075184963007
Challenge->Surprise,0.35714285714285715,0.2996428196761228,0.08108555710283223,0.44,0.2595480903819236
Challenge->CoCreation,0.17857142857142858,0.19968844297039892,0.07243355432379942,0.32142857142857145,0.6324735052989402
Surprise->CoCreation,0.26229508196721313,0.18102653126748586,0.04352970166687576,0.2542372881355932,0.036192761447710456
CoCreation->Surprise,0.42857142857142855,0.3066268259091529,0.0746597646751533,0.42857142857142855,0.05678864227154569
SelfGrowth->Surprise,0.35135135135135137,0.33384997391310833,0.0726826688115743,0.45714285714285713,0.4191161767646471
