task_idx,E_Ricci,Q_Ricci,Q_Ricci_shifted,Q_Ricci_affine
0,-7.55344247272898,-0.018237293803323427,-0.011589381825029178,-7.9754410982296635
1,-8.643354626154663,-0.010199255471381691,-0.01474360093137465,-8.739255020669749
2,-8.326810324213348,-0.01927763765956301,-0.022931688749291426,-10.722051796234616
3,-8.78580069823691,-0.011188703942734687,-0.006141896177753818,-6.656298312203518
4,-5.510948677492412,-0.019132593654490618,-0.011904331437791519,-8.051708120584273
5,-6.283446093129189,-0.011589381825029178,-0.004407342360652552,-6.23626523585247
6,-7.890110619017021,-0.01474360093137465,-0.008746845883769484,-7.287103207370192
7,-6.944137852079993,-0.022931688749291426,-0.016316260179186044,-9.120084312558811
8,-7.069604073328897,-0.006141896177753818,-0.01949466751530091,-9.889755566412518
9,-7.778821351861916,-0.011904331437791519,-0.010716972121803366,-7.764181621659009
10,-9.920740662802544,-0.004407342360652552,-0.004048416929304986,-6.149349193454033
11,-8.610962458493285,-0.008746845883769484,-0.012153648647640207,-8.112081845289461
12,-8.27971187334071,-0.016316260179186044,-0.0074857266358758275,-6.981715278719163
13,-9.167223709822562,-0.01949466751530091,-0.009003729761378235,-7.3493092480898214
14,-8.462177894387361,-0.010716972121803366,-0.005817024514986693,-6.57762860326396
15,-6.584179376498634,-0.004048416929304986,-0.01173850026350682,-8.01155106255415
16,-6.880412087270981,-0.012153648647640207,-0.012964237030936928,-8.308370901837463
17,-7.133583921000824,-0.0074857266358758275,-0.009857497854362105,-7.556054541923184
18,-6.382432248544068,-0.009003729761378235,-0.01771148765465673,-9.457947388903616
19,-9.026941882110215,-0.005817024514986693,-0.021404132546464075,-10.35214448932559
20,-6.614466263129661,-0.01173850026350682,-0.015510094160092098,-8.92486615921515
21,-9.599839048531374,-0.012964237030936928,-0.009248478574012876,-7.408576706781876
22,-9.848935509435776,-0.009857497854362105,-0.003366912733220623,-5.984318681742472
23,-9.19345871558232,-0.01771148765465673,-0.011269492860212654,-7.897977980822801
24,-6.888069036641063,-0.021404132546464075,-0.014385750553796088,-8.652599309278274
25,-8.214405626051208,-0.015510094160092098,,
26,-9.986071797592167,-0.009248478574012876,,
27,-10.088400908945035,-0.003366912733220623,,
28,-7.858619619618257,-0.011269492860212654,,
29,-6.672853391529615,-0.014385750553796088,,
