task_idx,E_Ricci,Q_Ricci,Q_Ricci_shifted,Q_Ricci_affine
0,-8.857676958823102,-0.02182543219143955,-0.024251206927516485,-8.270361803245931
1,-8.896587399670839,-0.02563623926874646,0.2447604194325234,-2.071654353048104
2,-8.222572324927704,-0.08606037159580099,-0.027471358233205498,-8.344562224095489
3,-8.320007168046123,-0.024251206927516485,-0.015979411745081662,-8.079758745981616
4,-6.755714113037708,0.2447604194325234,-0.03963890909675634,-8.624933333735221
5,-6.918005529344646,-0.027471358233205498,-0.026598055856579376,-8.324439131196065
6,-8.134352139417228,-0.015979411745081662,-0.031272892708940576,-8.432159181876727
7,-8.675578645815843,-0.03963890909675634,-0.01840699427382513,-8.135696380018118
8,-7.6101238867897685,-0.026598055856579376,-0.02720938850639559,-8.338525779800216
9,-9.678988408471973,-0.031272892708940576,-0.026422785496057335,-8.32040045932055
10,-6.629780018919138,-0.01840699427382513,-0.046224746468093464,-8.776687663954618
11,-7.370816957342996,-0.02720938850639559,-0.03672692044508752,-8.557833758916724
12,-5.782897518322893,-0.026422785496057335,-0.08604408063702945,-9.694225715059332
13,-7.274394940959494,-0.046224746468093464,-0.018671211329973687,-8.14178460845857
14,-6.009077603919693,-0.03672692044508752,-0.046661893853808555,-8.78676064404597
15,-6.7960927884959865,-0.08604408063702945,-0.03623250621277467,-8.546441206011893
16,-8.71954363528739,-0.018671211329973687,-0.039042599385078494,-8.611192851576819
17,-7.547241692157947,-0.046661893853808555,-0.033496656393775644,-8.483400314861134
18,-6.640605145303012,-0.03623250621277467,-0.03158131461634052,-8.439266001760585
19,-8.670690176863063,-0.039042599385078494,-0.019829485731935544,-8.168474176719851
20,-9.714492775350525,-0.033496656393775644,-0.02339431033423967,-8.25061674103927
21,-7.815863828414122,-0.03158131461634052,-0.025317733756009812,-8.2949372756412
22,-9.456621511204212,-0.019829485731935544,-0.04422342208140638,-8.730572094327096
23,-10.049556644335276,-0.02339431033423967,-0.06408485768912842,-9.188229744812565
24,-9.408522296293366,-0.025317733756009812,-0.03129860538003065,-8.432751666774154
25,-10.195895635367094,-0.04422342208140638,-0.006894318835233056,-7.870415254519853
26,-10.003162151696797,-0.06408485768912842,-0.041687316751935335,-8.672133820810847
27,-8.429328807413881,-0.03129860538003065,,
28,-10.22504765855355,-0.006894318835233056,,
29,-8.511000452352981,-0.041687316751935335,,
