task_idx,E_Ricci,Q_Ricci,Q_Ricci_shifted,Q_Ricci_affine
0,-7.392047536346072,-0.0021288549203203437,,
1,-6.803946444092247,-0.005939291010378538,-0.0021288549203203437,-6.9207695186858675
2,-7.8347504989758745,-0.0019244981442447578,-0.005939291010378538,-7.9519791335903784
3,-6.915709702498234,-0.0015849613334079633,-0.0019244981442447578,-6.865464911187042
4,-9.062082961703371,-0.004617419817333282,-0.0015849613334079633,-6.773576839671435
5,-9.3055884482937,-0.0010092295614366914,-0.004617419817333282,-7.594244152156076
6,-6.610962235785198,-0.0006553903529543776,-0.0010092295614366914,-6.617767865362219
7,-7.354539219905506,-0.01725818025937669,-0.0006553903529543776,-6.522009168642654
8,-7.813560841590921,-0.011223815910102707,-0.01725818025937669,-11.015184275400781
9,-7.1794033400808175,-0.0004317106683857099,-0.011223815910102707,-9.382118035805801
10,-7.506076891139574,-0.0002517323400330791,-0.0004317106683857099,-6.461475246557507
11,-6.603724530073302,-0.0039221065598929235,-0.0002517323400330791,-6.412768122678456
12,-4.898458118845984,-0.00597871941943384,-0.0039221065598929235,-7.406073113593369
13,-7.153698174061557,-0.0013459690173715025,-0.00597871941943384,-7.962649553867022
14,-10.314234442352546,-0.009182599062758113,-0.0013459690173715025,-6.708898895110677
15,-8.268492879606178,-0.00305146491391132,-0.009182599062758113,-8.829708183143854
16,-8.93579718843921,-0.004114631655002067,-0.00305146491391132,-7.170453353740945
17,-9.056599061099783,-0.0002347313473508787,-0.004114631655002067,-7.458175740299259
18,-7.011819516828426,-0.010960369274156969,-0.0002347313473508787,-6.4081671828641
19,-7.320436563058736,-0.0009486100213371459,-0.010960369274156969,-9.310822074508799
20,-6.188298673414678,-0.0010152532398481598,-0.0009486100213371459,-6.601362537697797
21,-6.373140604231271,-0.0031601525902136833,-0.0010152532398481598,-6.619398039690875
22,-7.71887298446512,-0.005474919154078276,-0.0031601525902136833,-7.199867251304285
23,-7.96906615578833,-0.003040009061336158,-0.005474919154078276,-7.8263072388806645
24,-6.45572006128799,-0.0005577591166812004,-0.003040009061336158,-7.16735308252704
25,-6.432518730513021,-0.0051768315909274994,-0.0005577591166812004,-6.495587450188278
26,-6.855280394085927,-0.0030609065331523577,-0.0051768315909274994,-7.745636482584148
27,-7.91101722229591,-0.008896747017853528,-0.0030609065331523577,-7.173008517588734
28,-7.775869327013632,-0.00907784390337513,-0.008896747017853528,-8.752348697200809
29,-8.655390560589282,-0.005869874364600002,-0.00907784390337513,-8.801358533651388
