task_idx,E_Ricci,Q_Ricci,Q_Ricci_shifted,Q_Ricci_affine
0,-7.586522101710935,-0.020597895245443303,-0.03212235257728649,-6.965991667700184
1,-6.311055427453404,-0.05468583025077836,-0.039695312112158994,-7.322533394207883
2,-7.961936727974508,-0.033669790682227786,-0.044037904987571624,-7.526986561320405
3,-7.304881107866771,-0.06661974642020142,-0.022408175640683616,-6.50863950562555
4,-6.230300736267102,-0.03212235257728649,-0.03822534777155684,-7.253326154754191
5,-7.28291304275371,-0.039695312112158994,-0.020067895532455096,-6.398457019312625
6,-6.986527434869294,-0.044037904987571624,-0.03186573134735016,-6.9539097100509055
7,-6.601112739941112,-0.022408175640683616,-0.03139742736606229,-6.931861538625992
8,-6.7122130020462185,-0.03822534777155684,-0.016146174046633432,-6.213818854669277
9,-5.888543029600347,-0.020067895532455096,-0.05926972916215721,-8.24411450371339
10,-6.390102856147326,-0.03186573134735016,-0.0474566905012614,-7.687946049351129
11,-8.785530252163671,-0.03139742736606229,-0.021873542406060525,-6.483468493467999
12,-8.140360392121536,-0.016146174046633432,-0.011737757182386094,-6.006266635129937
13,-6.9861651250286485,-0.05926972916215721,-0.018634017606099312,-6.330948760604786
14,-6.982098086326924,-0.0474566905012614,-0.08334648959041763,-9.377669977273534
15,-5.9839023013673005,-0.021873542406060525,-0.026998144146826653,-6.724739339285067
16,-7.0060835686640015,-0.011737757182386094,-0.03996062500858368,-7.335024563310322
17,-6.847823405361955,-0.018634017606099312,-0.04804613997407157,-7.715697859163002
18,-7.427979301271574,-0.08334648959041763,-0.032099245045558555,-6.964903744383062
19,-7.087465971608271,-0.026998144146826653,-0.03952435531827829,-7.314484595033958
20,-6.40459020124869,-0.03996062500858368,-0.034194393521353304,-7.063545213601267
21,-7.060986952250797,-0.04804613997407157,-0.06379055770275796,-8.45695916578885
22,-9.452388005238296,-0.032099245045558555,-0.019617037259494437,-6.377230207481472
23,-7.45999210745164,-0.03952435531827829,-0.028740164917206434,-6.8067552394392115
24,-8.456955078305185,-0.034194393521353304,-0.09116284831653743,-9.745671155991202
25,-8.64731704121289,-0.06379055770275796,-0.031648815312114276,-6.943697108576665
26,-6.419107663701457,-0.019617037259494437,,
27,-8.608238638567839,-0.028740164917206434,,
28,-7.373848717628036,-0.09116284831653743,,
29,-6.1376516967681205,-0.031648815312114276,,
