task_idx,E_Ricci,Q_Ricci,Q_Ricci_shifted,Q_Ricci_affine
0,-6.746947090515036,-0.0030692643719923713,,
1,-8.992785662871743,-0.0005060365409367009,,
2,-7.854882985990573,-0.005662172061627181,,
3,-8.251174437766403,-0.0024497996276230203,,
4,-9.354213472245778,-0.00039104062693146133,,
5,-10.143900969933568,-0.002982490760164415,-0.0030692643719923713,-8.318301013077697
6,-8.058709688951586,-0.0030902037513383263,-0.0005060365409367009,-6.859966092166042
7,-8.271141621025292,-0.002579085399104548,-0.005662172061627181,-9.793522132589906
8,-7.074390397717817,-0.00250622307641709,-0.0024497996276230203,-7.965859822309502
9,-7.663560616622515,-0.0045039248404083985,-0.00039104062693146133,-6.794539774956101
10,-8.59971062373933,-0.0012071743951297034,-0.002982490760164415,-8.26893162546059
11,-6.202614909277871,-0.0024117107316999078,-0.0030902037513383263,-8.330214362235521
12,-8.277543106397188,-0.00031820290359248823,-0.002579085399104548,-8.039416278370165
13,-8.143518125219662,-0.0013712275092756894,-0.00250622307641709,-7.997961645150889
14,-8.638935735273677,-0.007877249161631607,-0.0045039248404083985,-9.13454350053574
15,-8.810067370585235,-0.002942595356147661,-0.0012071743951297034,-7.258874766905892
16,-6.774546203759674,-0.0012071743951297025,-0.0024117107316999078,-7.944189346376519
17,-6.442516982230118,-0.00010335747870187436,-0.00031820290359248823,-6.753099137406072
18,-7.32787456678696,-0.000916437935483537,-0.0013712275092756894,-7.352211918736389
19,-8.532516941007756,-0.001683226299459998,-0.007877249161631607,-11.053778535984902
20,-7.818980570074239,-7.241693510155137e-05,-0.002942595356147661,-8.246233346299995
21,-8.425013118805472,-0.0007842418578502897,-0.0012071743951297025,-7.258874766905892
22,-8.427311698665036,-0.0019247172455351506,-0.00010335747870187436,-6.630863968951677
23,-7.437805463070441,-0.0033139355118025583,-0.000916437935483537,-7.093461795515985
24,-7.488104680924781,-0.004565727742233594,-0.001683226299459998,-7.52972198065725
25,-6.528091651817615,-0.002455691253698251,-7.241693510155137e-05,-6.613260510274436
26,-7.677921848268041,-0.0008275519146073106,-0.0007842418578502897,-7.018249536159113
27,-5.089898810421346,-0.0025709808275415705,-0.0019247172455351506,-7.667116977496194
28,-8.571997640310876,-0.0021388168036615834,-0.0033139355118025583,-8.457505364326293
