task_idx,E_Ricci,Q_Ricci,Q_Ricci_shifted,Q_Ricci_affine
0,-9.50836661105615,-0.0853442514663457,,
1,-8.220449246808272,-0.06714714904595717,-0.0853442514663457,-8.49299586421329
2,-10.00928200474216,-0.0647457944538608,-0.06714714904595717,-8.28194820273303
3,-8.515060075830828,-0.0452932714480557,-0.0647457944538608,-8.254097599964593
4,-7.948717980848051,-0.05329885215636019,-0.0452932714480557,-8.028489731446674
5,-8.281321886869588,-0.049400163680247966,-0.05329885215636019,-8.121337430396048
6,-6.963945731925975,-0.06055452648291651,-0.049400163680247966,-8.076120941159738
7,-6.746197604806692,-0.08678690415314323,-0.06055452648291651,-8.205487811248242
8,-5.850807769972501,-0.08950435492003815,-0.08678690415314323,-8.50972756516452
9,-8.663292704298973,-0.08506688954866315,-0.08950435492003815,-8.54124421085303
10,-7.574959869553128,0.31404266367875633,-0.08506688954866315,-8.489779056242533
11,-8.688085354562459,0.30919998497577905,0.31404266367875633,-3.8609576132910934
12,-9.317942415615066,-0.09019420054441653,0.30919998497577905,-3.917122380183788
13,-6.363371839400133,-0.038732363894195404,-0.09019420054441653,-8.549244951984448
14,-9.231925674489377,-0.03916144472360235,-0.038732363894195404,-7.952397166573326
15,-6.830110094922934,-0.04438824063420745,-0.03916144472360235,-7.957373591035876
16,-9.07181654402488,-0.0408823428833291,-0.04438824063420745,-8.017993300068884
17,-7.265895837022638,-0.03139742736606229,-0.0408823428833291,-7.977332347318364
18,-9.542072073332013,-0.026280555484011293,-0.03139742736606229,-7.867327512866581
19,-7.788141338060532,-0.08225816297752356,-0.026280555484011293,-7.807982688627366
20,-7.810257495207838,-0.027139698670773038,-0.08225816297752356,-8.457203805475558
21,-6.427828160257437,-0.03863791969230315,-0.027139698670773038,-7.817946921187798
22,-6.443461161501389,-0.06493290598803603,-0.03863791969230315,-7.95130181482505
23,-7.081111883345315,-0.04852247487837759,-0.06493290598803603,-8.256267695555165
24,-6.960247731575272,-0.03155565320291733,-0.04852247487837759,-8.065941618932337
25,-8.238224205554133,-0.04926575109705959,-0.03155565320291733,-7.869162595842022
26,-8.560395609983454,-0.08657134685744286,-0.04926575109705959,-8.074562041248088
27,-6.312109085790122,-0.06440245125707321,-0.08657134685744286,-8.50722755927778
28,-8.55546048342655,-0.04906700281092976,-0.06440245125707321,-8.250115549575845
29,-7.330120716310208,-0.04258629754040179,-0.04906700281092976,-8.072256984099873
