task_idx,E_Ricci,Q_Ricci,Q_Ricci_shifted,Q_Ricci_affine
0,-6.931107094541666,-0.026643755130401212,-0.026643755130401212,-7.715286939760389
1,-8.221960444178432,-0.04333220924695691,-0.04333220924695691,-8.342311692342642
2,-8.249206760439971,-0.08643500640479038,-0.08643500640479038,-9.961785882985742
3,-8.150818823703682,-0.037268157970760885,-0.037268157970760885,-8.114470921439192
4,-9.592173128646591,-0.05007915788100804,-0.05007915788100804,-8.595810534620323
5,-8.938423350838466,-0.08625824935672767,-0.08625824935672767,-9.95514470198991
6,-6.933575878018386,-0.051811910175144665,-0.051811910175144665,-8.660914142835269
7,-8.19104363340684,-0.039534909328224344,-0.039534909328224344,-8.19963813939433
8,-7.827564928836857,-0.02261541587487722,-0.02261541587487722,-7.563932691645428
9,-8.176498453929387,-0.027201584027318107,-0.027201584027318107,-7.7362458927964015
10,-6.369788415244626,-0.026525299552809994,-0.026525299552809994,-7.710836283114041
11,-8.72766227329914,-0.04254845266428843,-0.04254845266428843,-8.31286410097797
12,-8.745477791690798,-0.0384537391990606,-0.0384537391990606,-8.15901601657795
13,-9.410178987353492,-0.03757350237022664,-0.03757350237022664,-8.125943433823515
14,-9.23077868172373,-0.03997420479953813,-0.03997420479953813,-8.216143510849781
15,-7.466018421647917,-0.01847422625908231,-0.01847422625908231,-7.4083383881764195
16,-8.896229293743948,-0.020804147050258848,-0.020804147050258848,-7.495879031391205
17,-9.19826987368365,-0.026191745207430422,-0.026191745207430422,-7.698303856238332
18,-7.712263048324805,-0.04451770301798721,-0.04451770301798721,-8.386853501504621
19,-6.598739334095088,-0.014820777940971062,-0.014820777940971062,-7.271069680617511
20,-7.910729544434857,-0.015877769770423045,-0.015877769770423045,-7.310783367440433
21,-8.928521331182122,-0.02262332844027975,-0.02262332844027975,-7.5642299854707975
22,-6.638255890532146,-0.022990263853712674,-0.022990263853712674,-7.578016618145972
23,-8.035228989104809,-0.026666452846267338,-0.026666452846267338,-7.716139746711574
24,-9.882647147407395,-0.13497285710357249,-0.13497285710357249,-11.785467909656257
25,-9.426336036574913,-0.048098542835313285,-0.048098542835313285,-8.521394135694827
26,-8.347880882017028,-0.02096374118131146,-0.02096374118131146,-7.501875360939642
27,-6.201750535529935,-0.025453163686502488,-0.025453163686502488,-7.670553598953433
28,-8.534373678560488,-0.017396822654646836,-0.017396822654646836,-7.367857782616184
29,-9.273384175918126,-0.09010773456545315,-0.09010773456545315,-10.099778979899188
