task_idx,E_Ricci,Q_Ricci,Q_Ricci_shifted,Q_Ricci_affine
0,-7.644940228634403,-0.00020758906988913714,,
1,-5.436995715031049,-0.0013069898324525623,,
2,-6.803449593376438,-0.0054627080082284805,,
3,-6.641802162410107,-0.004442069997689251,-0.00020758906988913714,-6.497890479772699
4,-6.060765456902153,-0.0010465582855841904,-0.0013069898324525623,-6.942577002704481
5,-9.06775091462499,-0.00020689390605911607,-0.0054627080082284805,-8.623485301841296
6,-9.160893977887504,-0.0009205070153779291,-0.004442069997689251,-8.210656801504033
7,-8.287134288710023,-0.008810953499771762,-0.0010465582855841904,-6.83723743684079
8,-6.8310794268333375,-0.00011145180481757179,-0.00020689390605911607,-6.497609299336077
9,-6.555561398494763,-0.003646139257187968,-0.0009205070153779291,-6.786252115593187
10,-7.814837213942558,-0.0006539844869134104,-0.008810953499771762,-9.97778638681121
11,-6.005954026702685,-0.0018747567774206123,-0.00011145180481757179,-6.4590047998781674
12,-8.140712661622407,-0.004628157898261966,-0.003646139257187968,-7.888718082212289
13,-7.268245052981243,-0.0002347313473508787,-0.0006539844869134104,-6.678448864493443
14,-8.780227167036433,-0.0007566422210203358,-0.0018747567774206123,-7.172227842680933
15,-10.46114591689676,-0.0015337840001221053,-0.004628157898261966,-8.285925788285894
16,-7.070079175671779,-0.0020755466161647626,-0.0002347313473508787,-6.508869010441323
17,-7.6627714074529605,-0.008188767281588143,-0.0007566422210203358,-6.719971949056004
18,-6.691742238865025,-0.0008964758191562592,-0.0015337840001221053,-7.034310893817149
19,-8.172565255843232,-0.0034201532610131074,-0.0020755466161647626,-7.253443481483092
20,-8.27112128895274,-0.00813463439929741,-0.008188767281588143,-9.726123994532138
21,-7.853424480375198,-0.0012071743951297025,-0.0008964758191562592,-6.776531957618411
22,-6.7949659404756675,-0.0006416439369220954,-0.0034201532610131074,-7.797311080969213
23,-8.359926600393115,-0.002329168089675377,-0.00813463439929741,-9.70422828186589
24,-7.9008535820524255,-0.006450647837254412,-0.0012071743951297025,-6.902203572678361
25,-7.189803322695955,-0.0026704531559652777,-0.0006416439369220954,-6.673457348702688
26,-7.851819103885741,-0.00024857511763021363,-0.002329168089675377,-7.356028503284698
27,-6.6977323543973375,-0.002945006728551171,-0.006450647837254412,-9.023088014878358
28,-7.0102287054943275,-0.011642473612846664,-0.0026704531559652777,-7.494071767056077
29,-6.3358364617421685,-0.008243378077998822,-0.00024857511763021363,-6.514468550008159
