task_idx,E_Ricci,Q_Ricci,Q_Ricci_shifted,Q_Ricci_affine
0,-7.4341758946645875,-0.06684488880292364,-0.04082487165007464,-7.312897376717668
1,-8.850426923733883,-0.06426063579429389,-0.08577033318256655,-8.616762999072343
2,-7.551347350836124,-0.04082487165007464,-0.12847732512541285,-9.855690729032355
3,-9.234712014516866,-0.08577033318256655,-0.08281540348859077,-8.53104063438676
4,-7.111005304208911,-0.12847732512541285,-0.04986635729091877,-7.575190429233943
5,-8.271064262015063,-0.08281540348859077,-0.049940067457934986,-7.577328757543709
6,-7.2969693698431435,-0.04986635729091877,-0.04835907271989142,-7.531464178167471
7,-7.347661560527521,-0.049940067457934986,-0.13367700138726613,-10.006533080941525
8,-8.480767080090196,-0.04835907271989142,-0.06444482462930129,-7.998111047712761
9,-7.0674156485201545,-0.13367700138726613,-0.04711816362999505,-7.495465466671013
10,-6.910284378305639,-0.06444482462930129,-0.04745896332774334,-7.505352049094506
11,-6.825523164150242,-0.04711816362999505,-0.03757350237022664,-7.218575314266286
12,-8.912886854862338,-0.04745896332774334,-0.04743995583775789,-7.504800642747474
13,-8.063618031308474,-0.03757350237022664,-0.04010507147664233,-7.292016009186826
14,-8.199143436567631,-0.04743995583775789,-0.03877176413496235,-7.253336828963192
15,-9.12662991814601,-0.04010507147664233,-0.13702612536966574,-10.103691002492683
16,-8.784889445112132,-0.03877176413496235,-0.08495793602142412,-8.593195397494897
17,-8.604442734298377,-0.13702612536966574,-0.06380184506321401,-7.9794582422122176
18,-9.788914224181454,-0.08495793602142412,-0.06199413634405976,-7.927016701425455
19,-7.9253012933130815,-0.06380184506321401,-0.046661893853808555,-7.482229102966995
20,-7.703653422656065,-0.06199413634405976,-0.03932532812909589,-7.26939569313132
21,-8.176881496809017,-0.046661893853808555,-0.08512714011083028,-8.59810399978345
22,-8.774624100239471,-0.03932532812909589,-0.062299017227709544,-7.935861280823459
23,-8.541638641227536,-0.08512714011083028,-0.048874924976929635,-7.546429026702399
24,-7.504803188140511,-0.062299017227709544,-0.04125521767269136,-7.325381693609183
25,-7.30640175232756,-0.048874924976929635,-0.03857981679081217,-7.247768445976208
26,-6.3292739408498475,-0.04125521767269136,-0.06449587873221085,-7.999592124720187
27,-8.140152060751234,-0.03857981679081217,-0.07411045122821946,-8.27851039864023
28,-6.992172704460463,-0.06449587873221085,,
29,-8.27307550374705,-0.07411045122821946,,
