task_idx,E_Ricci,Q_Ricci,Q_Ricci_shifted,Q_Ricci_affine
0,-7.137029828310909,-0.03522550892786446,-0.03522550892786446,-7.0295281510600995
1,-8.62533058129151,-0.08526083522525207,-0.08526083522525207,-8.521029426063235
2,-9.103690580700606,-0.1331764357448744,-0.1331764357448744,-9.949343870198057
3,-7.690273321874888,-0.08657134685744286,-0.08657134685744286,-8.560094421037018
4,-9.451452814663059,-0.08551199746875632,-0.08551199746875632,-8.528516312512076
5,-8.78665450786071,-0.051259640379669597,-0.051259640379669597,-7.507489009390384
6,-8.716277040348368,-0.06339210764831654,-0.06339210764831654,-7.8691452978408405
7,-6.73425244442053,-0.06599926167931182,-0.06599926167931182,-7.946861860300074
8,-8.823129728102392,-0.08460572441409471,-0.08460572441409471,-8.501501251023422
9,-9.319311951043424,-0.03271529489461344,-0.03271529489461344,-6.954701269570968
10,-9.039656530066665,-0.062064366090197456,-0.062064366090197456,-7.829566696613399
11,-6.962838973111379,-0.03586771439148118,-0.03586771439148118,-7.0486716310507225
12,-6.555607590970659,-0.031849467281419214,-0.031849467281419214,-6.9288918448190095
13,-6.731478985267688,-0.062299017227709544,-0.062299017227709544,-7.836561404086676
14,-9.047132705806764,-0.13632482550360203,-0.13632482550360203,-10.043194109355872
15,-9.288209510741863,-0.135397899546993,-0.135397899546993,-10.015563406242258
16,-6.7039762691843094,-0.029615252607852707,-0.029615252607852707,-6.862292218498013
17,-7.72232820289847,-0.03996062500858368,-0.03996062500858368,-7.170677059127664
18,-8.780020634746785,-0.13537654619217357,-0.13537654619217357,-10.014926884842367
19,-9.47568983726698,-0.136590857685996,-0.136590857685996,-10.051124253288062
20,-9.839399416617765,-0.04795360560400436,-0.04795360560400436,-7.408939535488645
21,-7.918434446175115,-0.06233181427199992,-0.06233181427199992,-7.837539050021964
22,-6.941966657906354,-0.04951462057787967,-0.04951462057787967,-7.455471775730188
23,-7.084222084144497,-0.06386992474623407,-0.06386992474623407,-7.883388530842391
24,-7.441951550656578,-0.018728003128757498,-0.018728003128757498,-6.537754583171438
25,-6.078687134994588,-0.0386964196040774,-0.0386964196040774,-7.132992404859997
26,-8.245293660747443,-0.08634390226046829,-0.08634390226046829,-8.553314533076183
27,-7.670249486347683,-0.0853327081696471,-0.0853327081696471,-8.523171884125091
28,-7.276160868002981,-0.04052158805300015,-0.04052158805300015,-7.18739878671277
29,-7.968770278459766,-0.04999616652217881,-0.04999616652217881,-7.469826161781873
