task_idx,E_Ricci,Q_Ricci,Q_Ricci_shifted,Q_Ricci_affine
0,-8.333858388523065,-0.038465220673481335,,
1,-7.70854996544811,-0.026988180562572923,,
2,-9.079624438446595,-0.0664190168172126,,
3,-9.127844049985812,-0.026941987467032243,,
4,-6.9296899771390725,-0.13618047400749336,,
5,-6.017014619428448,-0.12650619663812557,-0.038465220673481335,-6.978350448341034
6,-7.621061906912591,-0.04813390056981794,-0.026988180562572923,-6.639880664360681
7,-6.096274557129739,-0.02855130634120047,-0.0664190168172126,-7.802736810222508
8,-8.487820447317691,-0.02740259186030608,-0.026941987467032243,-6.63851838219403
9,-8.573804284155976,-0.025981707710168774,-0.13618047400749336,-9.860074339513414
10,-7.774687673941067,-0.048334305864902435,-0.12650619663812557,-9.57476989344254
11,-8.911628110691579,-0.031648815312114276,-0.04813390056981794,-7.263489819142554
12,-6.654620733676947,-0.08222056664012485,-0.02855130634120047,-6.685978860368842
13,-5.70338769931678,-0.030193211133744235,-0.02740259186030608,-6.652102082171136
14,-6.093130232499765,-0.138124812276594,-0.025981707710168774,-6.610198738912714
15,-8.576782700784417,-0.13889948762845664,-0.048334305864902435,-7.2693999785809
16,-7.971925019655674,-0.03079920904313991,-0.031648815312114276,-6.777327603784484
17,-6.920664174133904,-0.04950799428817737,-0.08222056664012485,-8.268740858603634
18,-6.165044531640914,-0.062064366090197456,-0.030193211133744235,-6.734400330981321
19,-8.537012257532291,-0.08575374860414534,-0.138124812276594,-9.917414886167228
20,-8.085022282806039,-0.039913398511696244,-0.13889948762845664,-9.94026086356785
21,-6.28912684767794,-0.08688161855549056,-0.03079920904313991,-6.752271836134532
22,-9.356828234249912,-0.03684549851079047,-0.04950799428817737,-7.304013264170844
23,-7.186259416030887,-0.03019652463525503,-0.062064366090197456,-7.67431365611313
24,-8.397898279522845,-0.03960079307341918,-0.08575374860414534,-8.372938049218021
25,-7.436000776950076,-0.04144443995295598,-0.039913398511696244,-7.021058710691695
26,-7.095473451977728,-0.06484531680370761,-0.08688161855549056,-8.406200100679087
27,-7.054427459854986,-0.06206674819612891,-0.03684549851079047,-6.930583166427198
28,-6.1398088809199,-0.06280293588564449,-0.03019652463525503,-6.734498049568147
29,-9.460361857251874,-0.0515340025352506,-0.03960079307341918,-7.011839652978011
