task_idx,E_Ricci,Q_Ricci,Q_Ricci_shifted,Q_Ricci_affine
0,-8.199882856618876,-0.006847183164797755,-0.006847183164797755,-6.639024123024904
1,-7.129892324318801,-0.010542359587178382,-0.010542359587178382,-7.703096312996141
2,-7.705827634466272,-0.008336066727005272,-0.008336066727005272,-7.067766735435722
3,-8.14630490179207,-0.008256835363584698,-0.008256835363584698,-7.044951075030792
4,-7.253868166368126,-0.014205633536741358,-0.014205633536741358,-8.757981787575126
5,-6.908083686705839,-0.01500967698664658,-0.01500967698664658,-8.989516138517287
6,-8.324643767119932,-0.00250622307641709,-0.00250622307641709,-5.388990462968942
7,-7.045468070632044,-0.010740114833981209,-0.010740114833981209,-7.7600424055478525
8,-8.54204555154544,-0.009756331010098587,-0.009756331010098587,-7.476749569623486
9,-6.234497598355745,-0.011737757182386092,-0.011737757182386092,-8.047325976650344
10,-9.424658466306317,-0.006315046351627053,-0.006315046351627053,-6.485788683243096
11,-8.784057345718724,-0.00758194784397014,-0.00758194784397014,-6.850608786897805
12,-7.391874566720967,-0.008060642136191527,-0.008060642136191527,-6.988454785471963
13,-8.680350732219352,-0.006158356803472712,-0.006158356803472712,-6.440667971376576
14,-6.226178894702424,-0.013920048938536635,-0.013920048938536635,-8.675744136622054
15,-9.777821286746974,-0.014385750553796088,-0.014385750553796088,-8.809848731634332
16,-9.683649106697784,-0.017034085416739352,-0.017034085416739352,-9.572469823369296
17,-6.585792146484149,-0.008605043042088256,-0.008605043042088256,-7.145221823887589
18,-6.655045708227437,-0.011953680869224978,-0.011953680869224978,-8.10950389836735
19,-7.86528565787097,-0.010857357198393161,-0.010857357198393161,-7.793803808305682
20,-7.0626212791743646,-0.012507214950402563,-0.012507214950402563,-8.268900948644827
21,-6.590524439242726,-0.018687943641019507,-0.018687943641019507,-10.048718949649972
22,-7.167653935548664,-0.00907287911106425,-0.00907287911106425,-7.279941061499011
23,-7.268418381315984,-0.009321852424421967,-0.009321852424421967,-7.351636035840253
24,-9.119345575319155,-0.006944040392549727,-0.006944040392549727,-6.666915371146201
25,-7.020268715434648,-0.010982352434116686,-0.010982352434116686,-7.829797747162495
26,-6.807786915233146,-0.009622499064870095,-0.009622499064870095,-7.438210989926757
27,-9.566347751310621,-0.01378998414325481,-0.01378998414325481,-8.638290354790298
28,-6.908754553028429,-0.01774364676823107,-0.01774364676823107,-9.776796874339793
29,-8.413138066903574,-0.009640250414089837,-0.009640250414089837,-7.4433227125835675
