task_idx,E_Ricci,Q_Ricci,Q_Ricci_shifted,Q_Ricci_affine
0,-6.28447117133935,-2.505695176176605e-05,,
1,-8.133067303525646,-0.0016175930866996445,,
2,-6.107492023361444,-0.0003460658066941503,,
3,-7.259615598351439,-0.0031236361149013965,,
4,-7.514164491825787,-0.0006139635538969046,,
5,-9.363007697052632,-0.002080653286503529,-2.505695176176605e-05,-6.635453248831601
6,-8.741993611530676,-0.003118713275664406,-0.0016175930866996445,-7.899606961912689
7,-7.897479467083711,-0.00030959736590566427,-0.0003460658066941503,-6.890269781399957
8,-9.096232722385272,-0.002167467308217286,-0.0031236361149013965,-9.09510252674984
9,-9.016765317498681,-5.649104881001168e-05,-0.0006139635538969046,-7.102926765704826
10,-7.150745891349658,-0.002603270277857607,-0.002080653286503529,-8.267183720844434
11,-6.290169362318143,-0.0030339543252231203,-0.003118713275664406,-9.091194781510147
12,-9.0524106015835,-0.0012209307706489703,-0.00030959736590566427,-6.861321166783536
13,-8.649264864311686,-0.00018960399611509362,-0.002167467308217286,-8.336096611101224
14,-8.203622844469233,-0.0007815830657345773,-5.649104881001168e-05,-6.660405606036633
15,-8.170891140030152,-0.0025068423620130593,-0.002603270277857607,-8.682036605903331
16,-7.011570958930886,-0.0007045722277483667,-0.0030339543252231203,-9.023913204931423
17,-8.696795355255372,-0.00039061983869392077,-0.0012209307706489703,-7.584736781780567
18,-7.352550023060156,-0.0013089391878101327,-0.00018960399611509362,-6.766070540667112
19,-8.409810296876426,-0.0011632969413842209,-0.0007815830657345773,-7.2359829793917445
20,-6.468615294037272,-0.001138520055404187,-0.0025068423620130593,-8.605492215364707
21,-9.377662090245813,-0.006186377141512061,-0.0007045722277483667,-7.1748518473238665
22,-9.602880207670479,-0.0012068225803102631,-0.00039061983869392077,-6.925636730852216
23,-7.044970601727512,-0.004396776910560908,-0.0013089391878101327,-7.6545977820403905
24,-9.84806529106076,-0.002264077953241117,-0.0011632969413842209,-7.5389871013395915
25,-9.689616986383962,-0.0018962620042885531,-0.001138520055404187,-7.519319232132047
26,-8.720212785127732,-0.003723735107653483,-0.006186377141512061,-11.52630352499073
27,-6.82742219759474,-0.00464801174633462,-0.0012068225803102631,-7.573537713319727
28,-6.971505319293801,-0.0009684882327123927,-0.004396776910560908,-10.105720514498522
29,-6.050369281483434,-0.0030692643719923713,-0.002264077953241117,-8.4127860518936
