task_idx,E_Ricci,Q_Ricci,Q_Ricci_shifted,Q_Ricci_affine
0,-6.595417173721026,-0.038732363894195404,,
1,-6.608537478559019,-0.03957130641055996,,
2,-9.08442903604362,-0.038307714971346704,,
3,-8.402506429166412,-0.049940067457934986,,
4,-7.379664599950474,-0.08747617962433726,-0.038732363894195404,-6.75660715616758
5,-9.41100228746171,-0.05759868244220984,-0.03957130641055996,-6.788322048841933
6,-6.166351964029331,-0.051811910175144665,-0.038307714971346704,-6.740553976420788
7,-9.096877180165286,-0.06209760486754955,-0.049940067457934986,-7.180296632760406
8,-6.063080798396539,-0.08739657362223763,-0.08747617962433726,-8.599289883845834
9,-6.306599200362697,-0.02607719575464372,-0.05759868244220984,-7.4698184385129744
10,-6.292423056710636,-0.06115863575052605,-0.051811910175144665,-7.251058681079075
11,-8.508845911157604,-0.0849328532510652,-0.06209760486754955,-7.639893073051925
12,-8.58031492426075,-0.045659960888016944,-0.08739657362223763,-8.596280505058163
13,-8.101546915784057,-0.08619881674018118,-0.02607719575464372,-6.278198574539123
14,-8.666901392174413,-0.0864300251982307,-0.06115863575052605,-7.60439683321421
15,-9.189376828729326,-0.036267655145510155,-0.0849328532510652,-8.503143459757435
16,-6.313040598017111,-0.13910169050988497,-0.045659960888016944,-7.018493984960448
17,-6.120586503665731,-0.022634918764691366,-0.08619881674018118,-8.551001203767058
18,-8.20618632107266,-0.04795360560400436,-0.0864300251982307,-8.559741673214498
19,-7.729149933557726,-0.04687404103112712,-0.036267655145510155,-6.663432746820892
20,-7.911369881690505,-0.061913347973725656,-0.13910169050988497,-10.550910531335255
21,-7.822812987113302,-0.06455142035604676,-0.022634918764691366,-6.148068746616211
22,-6.8910255548510655,-0.14314853423429116,-0.04795360560400436,-7.105201589571856
23,-7.511701678486809,-0.06243487869954063,-0.04687404103112712,-7.064390361274353
24,-6.355959083634197,-0.08506688954866315,-0.061913347973725656,-7.632927533103542
25,-8.1277190549302,-0.06386992474623407,-0.06455142035604676,-7.732655679955659
26,-9.267575631921927,-0.046065220212677505,-0.14314853423429116,-10.703895046824575
27,-8.064539269418109,-0.036912709313577124,-0.06243487869954063,-7.652643175919303
28,-9.361586969403616,-0.04334754119962443,-0.08506688954866315,-8.508210489631196
29,-7.793246176003611,-0.04144443995295598,-0.06386992474623407,-7.706892818136578
