task_idx,E_Ricci,Q_Ricci,Q_Ricci_shifted,Q_Ricci_affine
0,-8.152682272100709,-0.02607719575464372,-0.01747900270848147,-7.591113821498687
1,-6.411215224303784,-0.027421318026621913,0.24368042831396147,-1.103641183702691
2,-8.200361636397869,-0.01747900270848147,-0.04087831338143173,-8.172377102475155
3,-6.727896235487887,0.24368042831396147,-0.018513505036514662,-7.616811938241309
4,-10.289557998079001,-0.04087831338143173,-0.035542095799277,-8.039819892429081
5,-9.804480153237543,-0.018513505036514662,-0.049100731863695846,-8.376630552987583
6,-8.113979216284848,-0.035542095799277,-0.023627067051021952,-7.7438381517726835
7,-6.658312830675613,-0.049100731863695846,-0.019116630256423538,-7.631794197721677
8,-8.871998314667257,-0.023627067051021952,-0.015062578105607696,-7.531087314199804
9,-7.021578909967278,-0.019116630256423538,-0.023824155880174707,-7.748734043838836
10,-6.881820889897285,-0.015062578105607696,-0.035299136229100254,-8.033784523315887
11,-6.794631943944959,-0.023824155880174707,-0.02189020751166789,-7.7006927493909245
12,-9.366980770327768,-0.035299136229100254,-0.014904261083154367,-7.527154554248375
13,-6.792164834653969,-0.02189020751166789,-0.019617037259494437,-7.644224829567804
14,-10.170812165919878,-0.014904261083154367,-0.05032458394796676,-8.407032315153831
15,-7.872993307923783,-0.019617037259494437,-0.02543660693280491,-7.788789009660939
16,-6.6567956247023625,-0.05032458394796676,-0.048334305864902435,-8.35759173184832
17,-5.798998590712084,-0.02543660693280491,-0.026025307181456778,-7.803412937811037
18,-8.963764571488547,-0.048334305864902435,-0.02929482712137752,-7.8846312230015165
19,-7.056456651705714,-0.026025307181456778,-0.022470101261097764,-7.71509791491578
20,-7.809003610558449,-0.02929482712137752,-0.012929508712913186,-7.478099645841634
21,-9.439240702651956,-0.022470101261097764,-0.0474566905012614,-8.335790850923438
22,-5.866111218216338,-0.012929508712913186,-0.013456814708571192,-7.49119847671741
23,-8.298648118007458,-0.0474566905012614,-0.08414780322482707,-9.247236357266132
24,-8.222117812669127,-0.013456814708571192,-0.08638698543577386,-9.30285997869801
25,-7.156732915420454,-0.08414780322482707,-0.02492767192900451,-7.776146533382577
26,-10.40585120695401,-0.08638698543577386,-0.06667594639243263,-8.813217211612889
27,-5.662437198890497,-0.02492767192900451,-0.048583534442731266,-8.363782829649734
28,-6.879163468738245,-0.06667594639243263,,
29,-6.395988610994332,-0.048583534442731266,,
