task_idx,E_Ricci,Q_Ricci,Q_Ricci_shifted,Q_Ricci_affine
0,-7.667238949493765,-0.08747617962433726,,
1,-6.6183993400753725,-0.14288933908484208,-0.08747617962433726,-8.588062098469184
2,-8.58041795765897,-0.03117764916273777,-0.14288933908484208,-9.302268940256518
3,-9.93427438896175,-0.06571548044853645,-0.03117764916273777,-7.862443923477639
4,-6.405495500797209,-0.07531035190415629,-0.06571548044853645,-8.307593697375577
5,-7.993754599173746,-0.04615238703587887,-0.07531035190415629,-8.431259680445137
6,-9.219813931548778,-0.050305605790191964,-0.04615238703587887,-8.055449706708464
7,-8.112997075255512,-0.06299464907374405,-0.050305605790191964,-8.108979541113305
8,-10.116801209851957,-0.08604408063702945,-0.06299464907374405,-8.2725255582883
9,-7.78108841021465,-0.03887650838536799,-0.08604408063702945,-8.569604120169265
10,-7.158479332539719,-0.08502026732713856,-0.03887650838536799,-7.961672662360126
11,-9.080227563007616,-0.038307714971346704,-0.08502026732713856,-8.556408437451369
12,-9.399179457189675,-0.06328668488116257,-0.038307714971346704,-7.954341621289509
13,-9.496809042058953,0.2841808601779718,-0.06328668488116257,-8.276289537345546
14,-5.950695730888725,-0.047965006879881825,0.2841808601779718,-3.797864188631067
15,-8.863802715003843,-0.06093496624188797,-0.047965006879881825,-8.078812126515425
16,-8.388187622467132,0.28768423611546623,-0.06093496624188797,-8.245978803244094
17,-7.244573470929385,-0.062216478044344686,0.28768423611546623,-3.7527100214932947
18,-9.239195922448268,-0.04034745363025244,-0.062216478044344686,-8.262495899653263
19,-7.380906923826219,-0.026988180562572923,-0.04034745363025244,-7.980631320700836
20,-6.2213112929708325,-0.08625824935672767,-0.026988180562572923,-7.808446873556247
21,-7.798316666522804,-0.042210022983693876,-0.08625824935672767,-8.572364489121234
22,-7.106896709975703,-0.04818385494380249,-0.042210022983693876,-8.00463752768276
23,-7.139233918464261,-0.019617037259494437,-0.04818385494380249,-8.08163280640601
24,-6.030539766577233,-0.06290123340706298,-0.019617037259494437,-7.713441986087129
25,-7.866740070611015,-0.02438235722299962,-0.06290123340706298,-8.271321546300474
26,-6.201180198354831,-0.026239304286261034,-0.02438235722299962,-7.774861045284917
27,-7.535888348385769,-0.06228351937094618,-0.026239304286261034,-7.798794787925299
28,-8.505839422938417,-0.03378227395363649,-0.06228351937094618,-8.2633599791356
29,-7.393025389840905,-0.13279013515617777,-0.03378227395363649,-7.896014303944297
