task_idx,E_Ricci,Q_Ricci,Q_Ricci_shifted,Q_Ricci_affine
0,-9.388368080183266,-0.08086588409094964,-0.04818385494380249,-7.968276463924421
1,-6.945914204392407,-0.03362136256957857,-0.037429387227848034,-7.81085984323023
2,-7.202818846111348,-0.05427367759732989,-0.038922460106447065,-7.832714433639249
3,-6.922136809638038,-0.018091435297832026,0.29427152423603675,-2.955646368892915
4,-6.613941552018465,-0.04818385494380249,-0.04782770317697771,-7.963063355375622
5,-9.489639628999413,-0.037429387227848034,-0.02699091741970507,-7.658068586069404
6,-7.342024488448881,-0.038922460106447065,-0.024950799440925122,-7.628206719678697
7,-6.512467004308927,0.29427152423603675,-0.027995445123909737,-7.6727721828225
8,-7.1518070153229445,-0.04782770317697771,-0.010167369897016262,-7.411816882214178
9,-7.285208221453189,-0.02699091741970507,-0.0314301636675424,-7.723047268531504
10,-9.886918574322465,-0.024950799440925122,-0.048708753824566714,-7.975959578533011
11,-6.251878114060573,-0.027995445123909737,-0.08860679786960872,-8.559960147576618
12,-6.9299473499709405,-0.010167369897016262,-0.0314301636675424,-7.723047268531504
13,-7.966579622458052,-0.0314301636675424,-0.049273529911084336,-7.984226388693834
14,-6.35419190932757,-0.048708753824566714,-0.035542095799277,-7.7832349484611445
15,-8.95897553226553,-0.08860679786960872,-0.06290123340706298,-8.183699490368303
16,-8.334229730096963,-0.0314301636675424,-0.05215355207968604,-8.026382204237644
17,-8.046681487459415,-0.049273529911084336,-0.06321200782830924,-8.188248396040148
18,-7.790054920293773,-0.035542095799277,-0.05427367759732989,-8.057415166839773
19,-8.243962703996823,-0.06290123340706298,-0.04831214086835879,-7.9701542264748
20,-8.187492306880882,-0.05215355207968604,-0.032512477283279995,-7.738889442818565
21,-9.582161225195764,-0.06321200782830924,-0.13477902658590835,-9.235797985990185
22,-7.312335850506447,-0.05427367759732989,-0.0423138247180036,-7.882354933828869
23,-6.470059469428863,-0.04831214086835879,-0.04842054556358816,-7.971740981044259
24,-8.538176531674445,-0.032512477283279995,-0.13632793697175175,-9.258469888044054
25,-6.979524509062894,-0.13477902658590835,-0.023660760659331224,-7.609324004984998
26,-7.544386406763019,-0.0423138247180036,,
27,-7.5325483240649405,-0.04842054556358816,,
28,-9.732509929052519,-0.13632793697175175,,
29,-8.47234098706403,-0.023660760659331224,,
