task_idx,E_Ricci,Q_Ricci,Q_Ricci_shifted,Q_Ricci_affine
0,-5.712314729913146,-0.0037324517400631747,,
1,-7.454792397644412,-0.0011107688987053313,,
2,-8.63447466313043,-0.00026452740684844173,,
3,-7.510974032869133,-0.0021877958987022144,,
4,-8.319040307024583,-9.386240780931985e-05,,
5,-9.996291303169592,-0.0007248963465550698,-0.0037324517400631747,-9.292342526535567
6,-6.716135206157841,-0.0006592698950000486,-0.0011107688987053313,-7.289268520958916
7,-6.787971631852861,-0.00020536325414761682,-0.00026452740684844173,-6.6427050587282945
8,-8.156796235325059,-0.0024218166628131015,-0.0021877958987022144,-8.112161646307595
9,-7.540712861346864,-0.0024045032466258488,-9.386240780931985e-05,-6.512309948441051
10,-6.725851349158195,-0.00030959736590566427,-0.0007248963465550698,-6.994445948798591
11,-7.911936744698787,-0.000256533049376775,-0.0006592698950000486,-6.944304628454893
12,-6.103503728485259,-0.004114631655002067,-0.00020536325414761682,-6.597501201698964
13,-8.481540723098055,-0.001806275909199512,-0.0024218166628131015,-8.290963178651957
14,-7.493262808118379,-0.0006915755309206764,-0.0024045032466258488,-8.277735013381418
15,-6.0867355949406985,-0.003296698745928559,-0.00030959736590566427,-6.677140369512557
16,-6.217609793772019,-0.0016319602788975787,-0.000256533049376775,-6.636597039333206
17,-9.989586839944746,-0.0016882867542441088,-0.004114631655002067,-9.584343771305166
18,-7.308719531061362,-0.00041610812859513573,-0.001806275909199512,-7.820664611836052
19,-7.298217548726631,-0.0011695526002596318,-0.0006915755309206764,-6.968987469005017
20,-9.92605048615881,-0.006707232919870779,-0.003296698745928559,-8.959409235889634
21,-6.570722866222275,-0.0009205070153779293,-0.0016319602788975787,-7.6874802684382555
22,-7.208346936242755,-0.0001315677144512221,-0.0016882867542441088,-7.730516022730317
23,-7.5235806717376095,-0.0019925419010827054,-0.00041610812859513573,-6.75851899269755
24,-9.686139342722196,-0.0007660074756245345,-0.0011695526002596318,-7.334181697593969
25,-9.19051272707205,-0.00044051000858632856,-0.006707232919870779,-11.565198250939313
26,-6.616952519382593,-0.0028186466992293976,-0.0009205070153779293,-7.143900581430506
27,-7.35912519741309,-0.004666812162519644,-0.0001315677144512221,-6.541118360509527
28,-7.353313023215624,-0.001015253239848159,-0.0019925419010827054,-7.962979525210903
29,-7.73954470135785,-0.00010335747870187425,-0.0007660074756245345,-7.025856549913216
