task_idx,E_Ricci,Q_Ricci,Q_Ricci_shifted,Q_Ricci_affine
0,-9.493763121094073,-0.0879645734811024,,
1,-6.804626050008817,-0.06339210764831654,,
2,-5.513381474853424,-0.08392739144712257,,
3,-7.835528979216526,-0.05205562389454173,,
4,-9.43506771976543,-0.03952435531827829,,
5,-8.846435136272708,-0.053478340804351196,,
6,-7.38461759499814,-0.08539414215789409,-0.0879645734811024,-9.327239373408384
7,-8.500681643375566,-0.05369767253922867,-0.06339210764831654,-8.287471411854787
8,-8.304323416194425,-0.06493592358594204,-0.08392739144712257,-9.156408632917895
9,-9.488647443699014,-0.03963890909675634,-0.05205562389454173,-7.807775451178318
10,-9.807406805495047,-0.05400791706778197,-0.03952435531827829,-7.277522945309034
11,-10.379691053537497,-0.0559643280468952,-0.053478340804351196,-7.8679767948793105
12,-8.295968876059368,-0.04709420253350988,-0.08539414215789409,-9.218473238359786
13,-8.275306916001165,-0.0652595000535432,-0.05369767253922867,-7.877257675049394
14,-8.434007910391495,-0.08797614684162836,-0.06493592358594204,-8.352796982410146
15,-7.386426125803422,-0.05075742896977958,-0.03963890909675634,-7.282370214180904
16,-7.065057149297783,-0.13971919895457532,-0.05400791706778197,-7.890385471145731
17,-8.74661140218656,-0.01676539648458352,-0.0559643280468952,-7.973169733399114
18,-9.694767975071551,-0.048009601616617784,-0.04709420253350988,-7.5978361227416285
19,-6.680892188809698,-0.08856056972350845,-0.0652595000535432,-8.36648891086429
20,-6.7968732583080005,-0.05467472016007605,-0.08797614684162836,-9.327729092656108
21,-7.607958272145588,-0.05412174010328093,-0.05075742896977958,-7.7528431745478565
22,-9.654596159123146,-0.0664190168172126,-0.13971919895457532,-11.517202798150354
23,-8.993410329615836,-0.13415446576042014,-0.01676539648458352,-6.314492356737851
24,-9.75298643277341,-0.018753800570117447,-0.048009601616617784,-7.636570641496405
25,-7.728271526300229,-0.13117144315689327,-0.08856056972350845,-9.352458568025527
26,-9.499694153862126,-0.06542080512109438,-0.05467472016007605,-7.918600811712293
27,-8.927945791251252,-0.02630984759560071,-0.05412174010328093,-7.895201819102177
28,-9.398917657885354,-0.046691294889476126,-0.0664190168172126,-8.41555311101221
29,-7.385587501300196,-0.0384537391990606,-0.13415446576042014,-11.281734720617967
