task_idx,E_Ricci,Q_Ricci,Q_Ricci_shifted,Q_Ricci_affine
0,-8.04952815394634,-0.004254310697818545,,
1,-7.510600822672339,-0.00013227712285855979,,
2,-9.371360302105902,-0.0037769587011325895,,
3,-8.910670207457137,-0.0015469943096159504,,
4,-10.004849770715396,-0.004989658586123059,-0.004254310697818545,-7.8675434688306956
5,-8.570136017579753,-0.007011928433213962,-0.00013227712285855979,-6.124635241325363
6,-9.405407236805845,-0.004848218115973994,-0.0037769587011325895,-7.665706024445463
7,-9.539312618532898,-0.0067308044237812765,-0.0015469943096159504,-6.722816255514844
8,-8.111768631724583,-0.0013536112842042528,-0.004989658586123059,-8.178468613252173
9,-8.400464184465125,-0.006374945906565885,-0.007011928433213962,-9.033539463752195
10,-7.432594995403991,-0.0006387475927984193,-0.004848218115973994,-8.118663724562632
11,-7.925130319570898,-4.442388430127026e-05,-0.0067308044237812765,-8.914672564664826
12,-7.500163953114042,-0.0024497996276230203,-0.0013536112842042528,-6.641048637682378
13,-6.263274173202823,-0.010483958188043565,-0.006374945906565885,-8.76420587723893
14,-7.624040580491519,-0.0028028139759435954,-0.0006387475927984193,-6.338784770433758
15,-6.100494133119078,-0.0034101165508409375,-4.442388430127026e-05,-6.087488495790673
16,-6.255875023696555,-0.0040519067125531025,-0.0024497996276230203,-7.104546968760032
17,-9.126159097172117,-0.0009297448206656003,-0.010483958188043565,-10.501608346692962
18,-5.8164566795488755,-0.002080653286503529,-0.0028028139759435954,-7.253811064000047
19,-6.815585570338947,-0.004628157898261966,-0.0034101165508409375,-7.510595157366881
20,-7.299002609657456,-0.0030484452006956132,-0.0040519067125531025,-7.7819615431176254
21,-6.046333831007509,-0.000614513380406799,-0.0009297448206656003,-6.461826335575759
22,-7.971975535283736,-0.0032686680325430695,-0.002080653286503529,-6.948461826950653
23,-8.1791232963105,-0.0027506360221233707,-0.004628157898261966,-8.025616262182215
24,-6.698762820635614,-0.01292950871291319,-0.0030484452006956132,-7.35767064562819
25,-6.316298861074486,-0.0010333445433695944,-0.000614513380406799,-6.328537884425588
26,-5.4842526352609084,-0.0030452486836937908,-0.0032686680325430695,-7.450786865700508
27,-6.228590369952456,-0.00038828984635863985,-0.0027506360221233707,-7.231748801926273
28,-9.662637785263716,-0.0025670238860616857,-0.01292950871291319,-11.535653813102495
29,-6.366876449693028,-0.0032164725502747907,-0.0010333445433695944,-6.5056311241065785
