task_idx,E_Ricci,Q_Ricci,Q_Ricci_shifted,Q_Ricci_affine
0,-7.430034177108199,-0.06461729932880984,,
1,-9.858132713015328,-0.04825612993391866,,
2,-9.960289280217587,-0.06205590100953168,-0.06461729932880984,-8.808383279824586
3,-9.107480700136076,-0.0464909050406907,-0.04825612993391866,-7.941010223404568
4,-6.530301584030592,-0.02616263495295297,-0.06205590100953168,-8.672592992756528
5,-9.604202997865231,-0.041923492306547294,-0.0464909050406907,-7.847428372746269
6,-9.674762445840777,-0.042459068123552955,-0.02616263495295297,-6.769742949891445
7,-8.645087876381861,-0.029701212207157185,-0.041923492306547294,-7.605290989560033
8,-7.005214410227465,-0.03158131461634052,-0.042459068123552955,-7.633684072115972
9,-7.768751693986573,-0.06779159377355827,-0.029701212207157185,-6.957337521787746
10,-8.301128927213297,-0.0349407656929131,-0.03158131461634052,-7.057009503274912
11,-7.283349729758146,-0.01920251852847723,-0.06779159377355827,-8.976665717837742
12,-8.206093943613888,-0.03632638718269424,-0.0349407656929131,-7.235107857851581
13,-7.572398629799537,-0.03522550892786446,-0.01920251852847723,-6.400758477545492
14,-6.652521013077317,-0.08458413013800975,-0.03632638718269424,-7.308565366763384
15,-7.416719098392502,-0.03882999268144599,-0.03522550892786446,-7.250203270901446
16,-8.484908323007241,-0.04158897053533761,-0.08458413013800975,-9.866907316095789
17,-8.869102100432528,-0.12269700716527651,-0.03882999268144599,-7.44129181810129
18,-7.21329392896286,-0.04795360560400436,-0.04158897053533761,-7.587556611036712
19,-9.184951280863284,-0.048300338424386316,-0.12269700716527651,-11.887428089288392
20,-6.751552846338733,-0.03877176413496235,-0.04795360560400436,-7.924972161188726
21,-7.468233472786187,-0.08714251045027353,-0.048300338424386316,-7.943353897782062
22,-6.352313573984536,-0.08271919240560077,-0.03877176413496235,-7.43820488274139
23,-9.789142397014139,-0.04019407555453003,-0.08714251045027353,-10.002537606166984
24,-9.576349353277136,-0.04166491734382956,-0.08271919240560077,-9.76803927665738
25,-6.1610411446345275,-0.018634017606099312,-0.04019407555453003,-7.513607476125499
26,-6.242023045296131,-0.03144161510627966,-0.04166491734382956,-7.591582864528567
27,-6.753326894178091,-0.05007915788100804,-0.018634017606099312,-6.370619899384049
28,-6.847713701222857,-0.03743472877862057,-0.03144161510627966,-7.049603456182722
29,-8.097231292886208,-0.04795360560400436,-0.05007915788100804,-8.037656452304304
