task_idx,E_Ricci,Q_Ricci,Q_Ricci_shifted,Q_Ricci_affine
0,-9.31515855694988,-0.08510306113548406,,
1,-8.016223717775919,-0.09089409432137663,,
2,-7.8784573411718855,-0.042870642114309375,,
3,-7.364646878189827,-0.06384869789430622,-0.08510306113548406,-8.463865153820624
4,-9.545689643918436,-0.052242387824715894,-0.09089409432137663,-8.5366306727954
5,-6.715167754079798,-0.05069726602122242,-0.042870642114309375,-7.9332061523971555
6,-7.4491874694677644,-0.04126587736527416,-0.06384869789430622,-8.196799723166508
7,-9.312410700569316,-0.048583534442731266,-0.052242387824715894,-8.050964058184782
8,-8.682929447737681,-0.050658711735606335,-0.05069726602122242,-8.031549286018679
9,-8.59197811593399,0.31145350408388506,-0.04126587736527416,-7.913041954395245
10,-7.578900597251914,-0.040246132297507495,-0.048583534442731266,-8.0049898154812
11,-7.655578824212046,-0.038866100339785145,-0.050658711735606335,-8.0310648435174
12,-7.457612915429988,-0.032099245045558555,0.31145350408388506,-3.4810506292317847
13,-6.620158908850443,-0.04743995583775789,-0.040246132297507495,-7.900228648600561
14,-7.079428453732924,-0.02643967496611227,-0.038866100339785145,-7.882888264185208
15,-9.100690556035687,-0.08443109556446649,-0.032099245045558555,-7.797861340403954
16,-7.047276740649014,-0.06779159377355827,-0.04743995583775789,-7.9906205159092245
17,-6.91695512778099,-0.06255567653631874,-0.02643967496611227,-7.726747682307805
18,-8.885092075243252,-0.0334102546108357,-0.08443109556446649,-8.455421768687314
19,-9.069904273352272,0.27992978535903457,-0.06779159377355827,-8.246343018068739
20,-6.88734038612878,-0.08416643016677473,-0.06255567653631874,-8.180552644771478
21,-9.207716867530536,-0.0481903503225524,-0.0334102546108357,-7.814334444310642
22,-5.4101310579833335,-0.039695312112158994,0.27992978535903457,-3.877152616458615
23,-7.343271313335036,-0.08325918796488169,-0.08416643016677473,-8.452096193716578
24,-6.2606221742983195,-0.04033833459219804,-0.0481903503225524,-8.000049376419797
25,-7.918811456305211,-0.07371905903160879,-0.039695312112158994,-7.893307480069477
26,-10.149007736511903,-0.042210022983693876,-0.08325918796488169,-8.440696509491424
27,-5.951359353093,-0.03916144472360235,-0.04033833459219804,-7.901387189332147
28,-6.198994819182352,-0.05125834671460873,-0.07371905903160879,-8.3208228339948
29,-7.109939129909282,-0.06675134622720305,-0.042210022983693876,-7.924905337613189
