series,n,pearson,spearman,omega2,r2,psi_lock_R,circ_mean_deg,mean_abs_dpsi_deg,median_r2,mean_K
E_pooled,727,0.7868352966822085,0.7900099150568076,0.03944812382165842,0.013570007295705788,,,,,
Q_pooled,650,0.815287590326403,0.7490681051524614,0.04176599885614414,0.014676242057573563,,,,,
kuramoto_global,26,,,,0.021051242117588204,,,,0.010373471364955256,-0.0034357064968960553
