winner,sharp,phi,dphi,near,deltaC,label
3,1.7868494293402728,-1.0436427253969445,0.5842233181749464,1,0.31459991643461493,P22_co_recon_features_W30
0,0.33087106990140125,-0.45941940722199803,0.13183480387822927,1,0.2950834674559693,P22_co_recon_features_W30
3,0.13413262758427308,-0.7799731176404859,0.10551152461144729,1,0.24799695028234697,P22_co_recon_features_W30
3,0.21945788457575444,-0.24839635799910345,0.48653062156389193,1,0.018468972798277652,P22_co_recon_features_W30
0,0.3550072673738326,0.19308812548729795,0.27643599803657604,1,0.10064971719605355,P22_co_recon_features_W30
0,0.6397408002579916,0.3044756380740486,0.06198719145196595,1,0.06485744666136797,P22_co_recon_features_W30
1,0.6595446704269138,0.31706250839122985,-0.9406574047509321,1,0.08355987711931886,P22_co_recon_features_W30
2,3.191570791779837,-1.5768391714278156,-0.746982472100669,1,1.452291334243613,P22_co_recon_features_W30
3,2.010057214753504,-1.1769024358101083,0.5850574597782261,1,0.5989387000205639,P22_co_recon_features_W30
3,0.10649212986423762,-0.4067242518713635,0.3385575866337469,1,0.21678541134023252,P22_co_recon_features_W30
3,0.054960534024154406,-0.4997872625426146,0.25743782457283515,1,0.35506478035151084,P22_co_recon_features_W30
0,0.19650332229460704,0.10815139727430682,0.4147435382975435,1,0.22685450144341204,P22_co_recon_features_W30
0,1.326260158600064,0.32969981405247245,-0.25418520285522755,1,0.1023372478516319,P22_co_recon_features_W30
0,0.3487792996614385,-0.4002190084361483,-0.632841061250978,1,0.20711947692656965,P22_co_recon_features_W30
3,0.6102778418071682,-0.9359823084494837,0.19111394141956514,1,0.08488283315200637,P22_co_recon_features_W30
3,0.1635932119207808,-0.01799112559701804,0.7419619148370278,1,0.3608207828638806,P22_co_recon_features_W30
0,0.6896957399927589,0.547941521224572,-0.36891140063057043,1,0.42661566246587973,P22_co_recon_features_W30
2,0.8651212313809535,-0.7558139268581588,-0.7103679907809066,1,0.2995458760467029,P22_co_recon_features_W30
3,1.2558229645522108,-0.8727944603372413,0.4867002825735765,1,0.04994228251081356,P22_co_recon_features_W30
0,1.249767117078907,0.21758663828899416,-0.12872502901286653,1,0.06424815585069522,P22_co_recon_features_W30
2,0.48404929117687623,-1.1302445183629743,-0.2959750176337861,1,0.49938381242221014,P22_co_recon_features_W30
3,0.8885793434482839,-0.374363396978578,0.667783247997572,1,0.16870144583166463,P22_co_recon_features_W30
0,0.22869279388094593,0.2053219776321698,0.3206787611917653,1,0.08247182521761628,P22_co_recon_features_W30
0,0.4000666465088991,0.2669941254049526,0.19603984962182905,1,0.009164858552654045,P22_co_recon_features_W30
4,0.2916970627807358,0.5974016768758279,0.2208865822274616,1,0.5001069353714541,P22_co_recon_features_W30
4,0.21362219279809813,0.7087672898598758,0.09536301543551073,1,0.3999301819590181,P22_co_recon_features_W30
0,0.17769808186258074,0.7881277077468494,-0.3273852984548185,1,0.2305973459736146,P22_co_recon_features_W30
0,1.6231478854696033,0.05399669295023883,-0.15431102720794965,1,0.30732125497858226,P22_co_recon_features_W30
4,1.093599032098443,0.4795056533309501,0.6632006873389185,1,0.3249289819919519,P22_co_recon_features_W30
4,2.0109584378087226,1.3803980676280758,0.31415367427738017,1,1.0331412075660031,P22_co_recon_features_W30
4,0.19195157667229168,1.1078130018857104,-0.173518978749987,1,0.45152125824616973,P22_co_recon_features_W30
4,0.9137313502825758,1.0333601101281018,0.1286002540936395,0,0.2926597042837688,P22_co_recon_features_W30
4,0.5739804425863666,1.3650135100729894,-0.07143776226982912,1,1.0003148839333116,P22_co_recon_features_W30
4,0.16473522347938008,0.8904845855884436,-0.07568041695577621,1,0.012196525148632203,P22_co_recon_features_W30
1,2.3287264532104257,1.213652676161437,-0.7157356453590735,1,0.677353388192929,P22_co_recon_features_W30
0,1.161263580527179,-0.5409867051297036,-0.24857758799172275,1,0.416281722329501,P22_co_recon_features_W30
4,1.9895153486917068,0.7164975001779915,0.8529931723230837,1,0.3834360848917064,P22_co_recon_features_W30
1,2.9749716816599814,1.164999639516464,-0.9407485698472278,1,0.5735414767419517,P22_co_recon_features_W30
2,4.406272613631539,-1.164999639516464,-1.440602665422333,1,0.5735414767419527,P22_co_recon_features_W30
3,1.5328671069532052,-1.7162056913282018,0.20059112843322108,1,1.7496603336074912,P22_co_recon_features_W30
3,1.8345521260664697,-0.7638173826500217,0.7858919841394111,1,0.2824687499049263,P22_co_recon_features_W30
3,0.4330509546144401,-0.1444217230493797,0.6386201612096964,1,0.17296157743595786,P22_co_recon_features_W30
4,0.334449267066811,0.5134229397693713,0.30860542202082347,1,0.37532559965401646,P22_co_recon_features_W30
0,0.8967527668115871,0.4727891209922672,-0.18752909404585183,1,0.3149491001136642,P22_co_recon_features_W30
0,1.1944540469782436,0.13836475167766757,-0.03952923161965741,1,0.18196143864137782,P22_co_recon_features_W30
0,0.9694384001995979,0.3937306577529524,-0.15353486159534752,1,0.19747864291609846,P22_co_recon_features_W30
0,1.3480214581675813,-0.1687049715130275,-0.07884242779358548,1,0.1368798705270859,P22_co_recon_features_W30
0,1.2493004224302018,0.23604580216578144,-0.4532347185559933,1,0.03682027107728278,P22_co_recon_features_W30
2,0.26071672492513287,-1.0751744086250141,-0.2734043605486357,1,0.3818796698251125,P22_co_recon_features_W30
3,1.2598784952661837,-0.31076291893148994,0.9696127646273498,1,0.07419951740991595,P22_co_recon_features_W30
4,0.014274048914015847,0.8640511206296854,-0.11858930114654095,1,0.06859811306317898,P22_co_recon_features_W30
0,0.8250661912392904,-0.5479415212245718,-0.3719138845542402,1,0.42661566246587956,P22_co_recon_features_W30
0,0.6332635632800145,0.12022335152120502,0.21687811345157174,1,0.20891716840471442,P22_co_recon_features_W30
0,2.0600457341659655,-0.11418529432142836,-0.3236890540350828,1,0.21788892564335058,P22_co_recon_features_W30
3,0.7107941177342229,-0.5271547565489606,0.49789516535785244,1,0.3957292696617254,P22_co_recon_features_W30
4,2.0349396107596083,0.8816050363942766,0.7362353436450576,1,0.031142988478269046,P22_co_recon_features_W30
4,0.3855588342949301,0.9453159307411546,-0.025943803412430078,1,0.10479816090287722,P22_co_recon_features_W30
4,0.19178120865444426,0.8297174295694164,-0.013880263535255455,1,0.14185656396199076,P22_co_recon_features_W30
4,0.001261156361267446,0.9175554036706437,-0.16835657917584673,1,0.04556499527118804,P22_co_recon_features_W30
1,0.7118578239391349,0.49300427121772294,-0.8170264519243176,1,0.34498614917839804,P22_co_recon_features_W30
3,1.281111753666569,-0.7164975001779915,0.5988086791835877,1,0.3834360848917058,P22_co_recon_features_W30
1,2.0244110617996833,1.6906216295848984,-0.474800543502268,1,1.6950711335204998,P22_co_recon_features_W30
2,2.1780893364307454,-1.6660985871825276,-0.43885431657803653,1,1.6427458506206816,P22_co_recon_features_W30
4,2.5823067140231672,0.8129129964288253,1.8020150490176785,1,0.17771250318947895,P22_co_recon_features_W30
1,0.9667718111714376,1.9379315108528294,-0.25735631309758394,1,2.2227609400680794,P22_co_recon_features_W30
1,1.879491814131569,0.2982003702336574,-1.601646704922561,1,0.05553322567295199,P22_co_recon_features_W30
2,3.3670172201132003,-1.2653618989922926,-1.0493862827526221,1,0.7876863423492512,P22_co_recon_features_W30
