task,phi_t,dphi_t,E_t,Q_t,E_tm1,Q_tm1,dE_t,dQ_t,E_true,Q_true,E_pred,Q_pred,Q_raw_pred,Q_sign_prob_positive,p_surprise,state_pred
11,-0.6299128890195028,-1.600326954479266,-9.41100228746171,-0.0575986824422098,-6.608537478559019,-0.0395713064105599,-2.8024648089026902,-0.018027376031649903,-8.508845911157604,-0.0849328532510652,-7.379509157338092,-0.08157299140117895,-0.033624373483240655,0.3898062133274288,0.6535375036499991,Surprise
12,-0.3231904912554745,0.1064879608418674,-8.508845911157604,-0.0849328532510652,-9.41100228746171,-0.0575986824422098,0.9021563763041058,-0.027334170808855397,-8.58031492426075,-0.0456599608880169,-7.788152747573148,-0.15150418197316784,-0.018361524528962562,0.4805276975795094,0.36616884250816667,CoCreation
13,-0.3604371675261452,-0.0372466762706706,-8.58031492426075,-0.0456599608880169,-8.508845911157604,-0.0849328532510652,-0.07146901310314568,0.039272892363048297,-8.101546915784057,-0.0861988167401811,-7.871470744720699,-0.07282000560111956,-0.018499916174914248,0.4702938340698083,0.38338477960810863,CoCreation
14,0.1237954321810497,0.4842325997071949,-8.101546915784057,-0.0861988167401811,-8.58031492426075,-0.0456599608880169,0.4787680084766919,-0.04053885585216419,-8.666901392174413,-0.0864300251982307,-7.1841049834450885,-0.13863238786799695,-0.03376524561236525,0.3947039147931249,0.5145777237477621,Surprise
18,0.3698560066373196,0.2460605744562699,-8.666901392174413,-0.0864300251982307,-8.101546915784057,-0.0861988167401811,-0.5653544763903557,-0.00023120845804960877,-8.20618632107266,-0.0479536056040043,-7.270586322980486,-0.13762170973072776,-0.03523834066573365,0.39440081415433015,0.7079639223692217,Surprise
19,0.5643100796177033,0.9477129791155642,-8.20618632107266,-0.0479536056040043,-8.666901392174413,-0.0864300251982307,0.46071507110175247,0.0384764195942264,-7.729149933557726,-0.0468740410311271,-7.20110662416961,-0.06055220138584218,-0.035355009822166425,0.3877478723499827,0.6354705467256382,Surprise
21,0.1804857234108187,-0.3838243562068845,-7.729149933557726,-0.0468740410311271,-8.20618632107266,-0.0479536056040043,0.4770363875149348,0.0010795645728772021,-7.822812987113302,-0.0645514203560467,-7.123223767037894,-0.059788802606742845,-0.03395927945551135,0.38788555500822275,0.7590741092635422,Surprise
26,-0.0673720156143972,0.2124107410761896,-7.822812987113302,-0.0645514203560467,-7.729149933557726,-0.0468740410311271,-0.09366305355557625,-0.017677379324919605,-9.267575631921927,-0.0460652202126775,-7.90429464749696,-0.11066824663518124,-0.018434594076912163,0.47993390190706886,0.48015608285953215,CoCreation
