label,n,pearson_E,pearson_Q,pearson_EQ,mean_abs_pearson,rep_score
P1,3,0.7565919761311094,0.9952150043617016,-0.8910784736778956,0.8759034902464056,0.8759034902464056
P15,3,0.6073397457793335,-0.9892404638064989,-0.6526051741016843,0.7982901047929162,0.30366987288966674
P21,3,-0.3388431503725263,-0.9963926566002034,0.9524764076089467,0.6676179034863648,0.0
P11,8,-0.7330648137804265,0.5378683289563297,-0.06884707433335582,0.6354665713683781,0.26893416447816487
P9,6,0.30901709049043535,-0.8352698291280953,0.46780930783920494,0.5721434598092654,0.15450854524521768
P10,4,-0.7107697066860645,-0.3166377635469477,-0.25278466773760955,0.5137037351165061,0.0
P17,4,-0.6221445844157611,-0.3901962027579936,-0.23303502922344183,0.5061703935868773,0.0
P19,8,0.21843621921901626,-0.7358052644685816,-0.056442745913932196,0.47712074184379893,0.10921810960950813
P4,9,-0.40843698657048155,-0.5351230956286462,0.28456521858834005,0.4717800410995639,0.0
P25,4,-0.6199119122066501,-0.31316604469817066,0.5059146157469766,0.4665389784524104,0.0
P12,4,0.688834375317106,-0.1818515112725219,0.7313656588787274,0.43534294329481393,0.344417187658553
P14,8,0.5528356385219034,-0.23524151713501423,-0.04507310096019375,0.39403857782845886,0.2764178192609517
P16,9,-0.6525174329710751,-0.09614564386269549,-0.38788642287140274,0.3743315384168853,0.0
P5,4,-0.3117426422422136,0.4268657436775572,0.24569863330212055,0.36930419295988537,0.2134328718387786
P24,9,-0.6352131976727007,0.07436781669395573,0.22952112766918464,0.3547905071833282,0.037183908346977865
P7,11,-0.46985567428773023,-0.23338661304434455,0.5758991452314401,0.35162114366603736,0.0
P2,7,-0.40845600486383815,0.24224351764200497,-0.2829350345243663,0.3253497612529216,0.12112175882100248
P13,11,-0.18683715865265432,0.4242602168200097,-0.18939606789552763,0.30554868773633204,0.21213010841000485
P26,7,-0.1565806880560518,0.3766550826240884,0.29725055771969144,0.26661788534007014,0.1883275413120442
P8,10,0.1669688551274039,-0.27844158936788277,0.40478996699039893,0.22270522224764333,0.08348442756370195
P22,6,-0.2593023296445667,0.14541124777673914,-0.8214231705024049,0.2023567887106529,0.07270562388836957
P18,12,-0.3447289471328038,0.02794403561060131,-0.39537205748790105,0.18633649137170255,0.013972017805300656
P20,11,0.29457268597235065,0.034159659097829434,-0.08833367371808236,0.16436617253509003,0.16436617253509003
P3,9,-0.07456840521278638,0.17469016842511947,-0.25689620010612335,0.12462928681895293,0.08734508421255974
