task,phi_t,dphi_t,E_t,Q_t,E_tm1,Q_tm1,dE_t,dQ_t,E_true,Q_true,E_pred,Q_pred,Q_raw_pred,Q_sign_prob_positive,p_surprise,state_pred,label
12,0.0432776971984761,0.723447310192633,-9.023433909991104,-0.0008326698446346,-6.210511495014797,-0.0001457985141157,-2.812922414976307,-0.0006868713305188999,-9.175428827950348,-0.0001009149331113,-8.031437209704121,-0.020153544683327973,-0.020153544683327973,0.48027715360355816,0.4210821283837981,CoCreation,P1
15,0.9114616395910036,0.8623599966038205,-9.175428827950348,-0.0001009149331113,-9.023433909991104,-0.0008326698446346,-0.1519949179592448,0.0007317549115233,-7.923152105794483,-0.0047720281371163,-7.395594581238508,-0.03475852228305455,-0.03475852228305455,0.38461206903876344,0.816036815344824,Surprise,P1
18,-0.5561181988981052,-0.2879391792239375,-7.923152105794483,-0.0047720281371163,-9.175428827950348,-0.0001009149331113,1.252276722155865,-0.004671113204005001,-9.909459887432227,-0.0005978056268842,-7.816551160699938,-0.020138832139119125,-0.020138832139119125,0.48083278708412985,0.3600523636870681,CoCreation,P1
20,1.1481127436923584,1.5491151012429545,-9.184951280863284,-0.0483003384243863,-7.21329392896286,-0.0479536056040043,-1.9716573519004248,-0.0003467328203820008,-6.751552846338733,-0.0387717641349623,-7.389819183914229,-0.06166424635605985,-0.03493643049271276,0.3928080272688548,0.7833620233523957,Surprise,P10
22,-0.2455012726045207,-1.393614016296879,-6.751552846338733,-0.0387717641349623,-9.184951280863284,-0.0483003384243863,2.433398434524552,0.009528574289424004,-6.352313573984536,-0.0827191924056007,-7.063999366853176,-0.04257606370868761,-0.034967464561236984,0.3910676508258789,0.7858508608675965,Surprise,P10
23,0.9983086233129618,0.0084988758864945,-6.352313573984536,-0.0827191924056007,-6.751552846338733,-0.0387717641349623,0.39923927235419665,-0.043947428270638404,-9.78914239701414,-0.04019407555453,-6.935765964197089,-0.1309276620053001,-0.034510722805901325,0.3991916900907863,0.932449329285471,Surprise,P10
26,0.1623887469497314,-0.8359198763632304,-9.78914239701414,-0.04019407555453,-6.352313573984536,-0.0827191924056007,-3.4368288230296047,0.0425251168510707,-6.242023045296131,-0.0314416151062796,-7.460642573706546,-0.04406200547849425,-0.03632614563056575,0.3910047868434434,0.8358373546813157,Surprise,P10
5,-0.3278359411255114,-0.9463747987018968,-6.922136809638038,-0.018091435297832,-6.945914204392407,-0.0336213625695785,0.023777394754369574,0.015529927271746496,-9.489639628999411,-0.037429387227848,-6.911709129319303,-0.03492245677566007,-0.03492245677566007,0.36169282945285497,0.6567952242723197,Surprise,P11
6,0.1850307675809923,-0.2244386593456751,-9.489639628999411,-0.037429387227848,-6.922136809638038,-0.018091435297832,-2.5675028193613736,-0.019337951930015997,-7.342024488448881,-0.038922460106447,-7.427437548323005,-0.0406255959720774,-0.0342331784836186,0.3651717375519626,0.7379019770832311,Surprise,P11
12,-0.5541698397823083,-0.7392006073633006,-7.342024488448881,-0.038922460106447,-9.489639628999411,-0.037429387227848,2.1476151405505304,-0.0014930728785990041,-6.9299473499709405,-0.0101673698970162,-7.820789783840797,-0.015417675007867074,-0.015417675007867076,0.5111552614330106,0.4714886895641792,CoCreation,P11
14,-0.2692175382860453,0.5221961639116675,-6.9299473499709405,-0.0101673698970162,-7.342024488448881,-0.038922460106447,0.41207713847794025,0.028755090209430803,-6.35419190932757,-0.0487087538245667,-7.963597348930808,-0.004842863298490364,-0.015491876495542036,0.5071220506694984,0.2953144084694019,CoCreation,P11
19,0.6341037203898959,-0.7811557743392715,-6.35419190932757,-0.0487087538245667,-6.9299473499709405,-0.0101673698970162,0.5757554406433707,-0.0385413839275505,-8.243962703996823,-0.0629012334070629,-6.7964995308871465,-0.0635398295362021,-0.033877678112931305,0.367191299267593,0.93782672376656,Surprise,P11
21,0.389394089866212,0.7220639770571358,-8.243962703996823,-0.0629012334070629,-6.35419190932757,-0.0487087538245667,-1.8897707946692535,-0.014192479582496198,-9.582161225195764,-0.0632120078283092,-7.146432373252212,-0.09038147757755391,-0.035420989236571894,0.3690466159469373,0.6096978004824398,Surprise,P11
22,0.512488297500349,-0.073436368042099,-9.582161225195764,-0.0632120078283092,-8.243962703996823,-0.0629012334070629,-1.3381985211989402,-0.0003107744212463015,-7.312335850506447,-0.0542736775973298,-7.51629873686993,-0.09042149265789753,-0.036002522998720865,0.3688968323145472,0.8363149138096687,Surprise,P11
25,-0.1122811092762357,-0.6247694067765848,-7.312335850506447,-0.0542736775973298,-9.582161225195764,-0.0632120078283092,2.269825374689317,0.008938330230979397,-6.979524509062894,-0.1347790265859083,-7.130348210135381,-0.07250803175472395,-0.03603932343993565,0.36737792362208305,0.6880029222809649,Surprise,P11
6,-0.3800008789855729,-0.3938146918390146,-9.45145281466306,-0.0855119974687563,-7.690273321874888,-0.0865713468574428,-1.7611794927881723,0.0010593493886865007,-8.716277040348368,-0.0633921076483165,-8.03205630564672,-0.015105954940383151,-0.015105954940383144,0.5086461895577927,0.4707735599763769,CoCreation,P12
11,-0.1179438413485082,0.8375449919028451,-8.716277040348368,-0.0633921076483165,-9.45145281466306,-0.0855119974687563,0.7351757743146923,0.022119889820439803,-6.962838973111379,-0.0358677143914811,-7.853797231468825,-0.015257864370524954,-0.015257864370524956,0.5058215155406398,0.3104672041993062,CoCreation,P12
13,0.0037702225544578,-2.695391971871573,-6.962838973111379,-0.0358677143914811,-8.716277040348368,-0.0633921076483165,1.7534380672369894,0.0275243932568354,-6.731478985267688,-0.0622990172277095,-7.0665054201252575,-0.03634443645740838,-0.035390992325553816,0.37755879732061837,0.9603620379117236,Surprise,P12
14,0.5127344648660427,1.8176310133053415,-6.731478985267688,-0.0622990172277095,-6.962838973111379,-0.0358677143914811,0.23135998784369072,-0.026431302836228403,-9.047132705806764,-0.136324825503602,-7.869814546387183,-0.015363999183963958,-0.015363999183963958,0.5146047004429423,0.41141054744015587,CoCreation,P12
3,-0.0664746474244472,-0.1672036755203036,-7.551347350836124,-0.0408248716500746,-8.850426923733883,-0.0642606357942938,1.2990795728977584,0.023435764144219197,-9.234712014516866,-0.0857703331825665,-7.142936164435223,-0.04837191944911674,-0.03327782385103245,0.3951116450312364,0.5820294429125024,Surprise,P13
4,0.0523966888248588,0.1188713362493061,-9.234712014516866,-0.0857703331825665,-7.551347350836124,-0.0408248716500746,-1.6833646636807416,-0.0449454615324919,-7.111005304208911,-0.1284773251254128,-7.3984147315502975,-0.13977364634343736,-0.03176702002169564,0.40470208769412536,0.5725475168605313,Surprise,P13
5,0.6423523417600142,0.5899556529351554,-7.111005304208911,-0.1284773251254128,-9.234712014516866,-0.0857703331825665,2.123706710307955,-0.0427069919428463,-8.271064262015063,-0.0828154034885907,-7.076513128659944,-0.22375551055450815,-0.03319913969631745,0.4115675484613349,0.7504172024410143,Surprise,P13
6,-0.2090873794880322,-0.8514397212480465,-8.271064262015063,-0.0828154034885907,-7.111005304208911,-0.1284773251254128,-1.160058957806152,0.04566192163682209,-7.296969369843144,-0.0498663572909187,-7.241349516806719,-0.13009051420875023,-0.03554029276843117,0.4011257716933451,0.6764948784995941,Surprise,P13
7,0.1396543673610066,0.3487417468490389,-7.296969369843144,-0.0498663572909187,-8.271064262015063,-0.0828154034885907,0.9740948921719186,0.032949046197672006,-7.347661560527521,-0.0499400674579349,-7.097244480680505,-0.06576603305274,-0.0339666815290974,0.39624325881882094,0.5603906712615515,Surprise,P13
10,0.4017436938275831,0.2620893264665764,-7.347661560527521,-0.0499400674579349,-7.296969369843144,-0.0498663572909187,-0.05069219068437647,-7.371016701620409e-05,-6.910284378305639,-0.0644448246293012,-7.096397048799802,-0.06732005878561344,-0.03256007613025637,0.39737847053704345,0.713888872570449,Surprise,P13
12,-0.0519668181041388,0.1423706378253301,-6.910284378305639,-0.0644448246293012,-7.347661560527521,-0.0499400674579349,0.4373771822218817,-0.014504757171366303,-8.912886854862338,-0.0474589633277433,-7.027397574820431,-0.09649131174873742,-0.032398337509865,0.4002104825360987,0.5091090548128892,Surprise,P13
13,-0.0020672002887398,-0.6620014301977141,-8.912886854862338,-0.0474589633277433,-6.910284378305639,-0.0644448246293012,-2.0026024765566985,0.01698586130155791,-8.063618031308474,-0.0375735023702266,-7.341447729715201,-0.06170765773280142,-0.03321026892268517,0.3963984479664985,0.7302668483102484,Surprise,P13
15,-0.174563646671308,-0.1724964463825682,-8.063618031308474,-0.0375735023702266,-8.912886854862338,-0.0474589633277433,0.8492688235538637,0.009885460957516697,-9.12662991814601,-0.0401050714766423,-7.224863554222104,-0.04254906234809014,-0.03259794239236306,0.39504897314985227,0.5243417220922875,Surprise,P13
