label,n,pearson_E,pearson_Q,pearson_EQ,mean_abs_pearson,rep_score
P8,10,0.1669688551274039,-0.27844158936788277,0.40478996699039893,0.22270522224764333,0.08348442756370195
P22,6,-0.2593023296445667,0.14541124777673914,-0.8214231705024049,0.2023567887106529,0.07270562388836957
P18,12,-0.3447289471328038,0.02794403561060131,-0.39537205748790105,0.18633649137170255,0.013972017805300656
P20,11,0.29457268597235065,0.034159659097829434,-0.08833367371808236,0.16436617253509003,0.16436617253509003
P3,9,-0.07456840521278638,0.17469016842511947,-0.25689620010612335,0.12462928681895293,0.08734508421255974
