task,phi_t,dphi_t,E_t,Q_t,E_tm1,Q_tm1,dE_t,dQ_t,E_true,Q_true,E_pred,Q_pred,Q_raw_pred,Q_sign_prob_positive,p_surprise,state_pred
5,-0.3278359411255114,-0.9463747987018968,-6.922136809638038,-0.018091435297832,-6.945914204392407,-0.0336213625695785,0.023777394754369574,0.015529927271746496,-9.489639628999411,-0.037429387227848,-6.911709129319303,-0.03492245677566007,-0.03492245677566007,0.36169282945285497,0.6567952242723197,Surprise
6,0.1850307675809923,-0.2244386593456751,-9.489639628999411,-0.037429387227848,-6.922136809638038,-0.018091435297832,-2.5675028193613736,-0.019337951930015997,-7.342024488448881,-0.038922460106447,-7.427437548323005,-0.0406255959720774,-0.0342331784836186,0.3651717375519626,0.7379019770832311,Surprise
12,-0.5541698397823083,-0.7392006073633006,-7.342024488448881,-0.038922460106447,-9.489639628999411,-0.037429387227848,2.1476151405505304,-0.0014930728785990041,-6.9299473499709405,-0.0101673698970162,-7.820789783840797,-0.015417675007867074,-0.015417675007867076,0.5111552614330106,0.4714886895641792,CoCreation
14,-0.2692175382860453,0.5221961639116675,-6.9299473499709405,-0.0101673698970162,-7.342024488448881,-0.038922460106447,0.41207713847794025,0.028755090209430803,-6.35419190932757,-0.0487087538245667,-7.963597348930808,-0.004842863298490364,-0.015491876495542036,0.5071220506694984,0.2953144084694019,CoCreation
19,0.6341037203898959,-0.7811557743392715,-6.35419190932757,-0.0487087538245667,-6.9299473499709405,-0.0101673698970162,0.5757554406433707,-0.0385413839275505,-8.243962703996823,-0.0629012334070629,-6.7964995308871465,-0.0635398295362021,-0.033877678112931305,0.367191299267593,0.93782672376656,Surprise
21,0.389394089866212,0.7220639770571358,-8.243962703996823,-0.0629012334070629,-6.35419190932757,-0.0487087538245667,-1.8897707946692535,-0.014192479582496198,-9.582161225195764,-0.0632120078283092,-7.146432373252212,-0.09038147757755391,-0.035420989236571894,0.3690466159469373,0.6096978004824398,Surprise
22,0.512488297500349,-0.073436368042099,-9.582161225195764,-0.0632120078283092,-8.243962703996823,-0.0629012334070629,-1.3381985211989402,-0.0003107744212463015,-7.312335850506447,-0.0542736775973298,-7.51629873686993,-0.09042149265789753,-0.036002522998720865,0.3688968323145472,0.8363149138096687,Surprise
25,-0.1122811092762357,-0.6247694067765848,-7.312335850506447,-0.0542736775973298,-9.582161225195764,-0.0632120078283092,2.269825374689317,0.008938330230979397,-6.979524509062894,-0.1347790265859083,-7.130348210135381,-0.07250803175472395,-0.03603932343993565,0.36737792362208305,0.6880029222809649,Surprise
